,순위,업소명,주소,분류,합산 검색 수
0,1,이디야커피랩,서울 강남구 논현로 636-0,카페/찻집,45372
1,2,맥도날드청담DT점,서울 강남구 도산대로 407-0,간이음식,41777
2,3,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식,40447
3,4,카페노티드청담,서울 강남구 도산대로53길 15-0,카페/찻집,33438
4,5,중앙해장,서울 강남구 영동대로86길 17-0,한식,30910
5,6,영천영화청담점,서울 강남구 도산대로90길 3-0,한식,29214
6,7,진미평양냉면,서울 강남구 학동로 305-3,한식,26303
7,8,스케줄청담,서울 강남구 선릉로152길 37-0,외국식,25336
8,9,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식,23070
9,10,카페노티드삼성,서울 강남구 테헤란로103길 9-0,카페/찻집,21617
10,11,삼원가든본점,서울 강남구 언주로 835-0,한식,21347
11,12,보메청담,서울 강남구 선릉로152길 40-0,외국식,21102
12,13,맥도날드삼성DT점,서울 강남구 봉은사로 432-0,간이음식,21023
13,14,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식,19921
14,15,울프강스테이크하우스,서울 강남구 선릉로152길 21-0,외국식,17036
15,16,한우리본점,서울 강남구 도산대로 304-0,한식,16826
16,17,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,간이음식,16717
17,18,한일관압구정점 [한식],서울 강남구 압구정로38길 14-0,한식,16441
18,19,마켓오도곡점,서울 강남구 남부순환로 2745-0,외국식,16156
19,20,만강수서점,서울 강남구 밤고개로21길 81-0,한식,14873
20,21,금수복국압구정점,서울 강남구 언주로 821-0,외국식,14444
21,22,페어링룸,서울 강남구 도산대로81길 14-0,외국식,14256
22,23,포브라더스도곡점,서울 강남구 논현로28길 40-0,외국식,14101
23,24,몽중헌대치점,서울 강남구 영동대로 325-0,외국식,14067
24,25,긴자청담점 [일식],서울 강남구 도산대로 534-0,외국식,14054
25,26,쉐이크쉑청담점,서울 강남구 도산대로 327-0,간이음식,13891
26,27,곰바위본점,서울 강남구 영동대로115길 10-0,외국식,13288
27,28,보노보노삼성점,서울 강남구 테헤란로 508-0,외국식,13282
28,29,팀호완삼성점,서울 강남구 봉은사로86길 30-0,외국식,12982
29,30,해목[일식],서울 강남구 선릉로145길 14-0,외국식,12815
30,31,고센클래식,서울 강남구 선릉로158길 18-0,카페/찻집,12591
31,32,청담골,서울 강남구 선릉로148길 48-0,외국식,12580
32,33,뱃고동압구정본점,서울 강남구 언주로172길 54-0,외국식,12520
33,34,달마시안,서울 강남구 압구정로42길 42-0,카페/찻집,12191
