,순위,관광지명,주소,분류,합산 검색 수
0,1,코엑스,서울 강남구 영동대로 513-0,전시시설,639157
1,2,인터컨티넨탈호텔서울코엑스,서울 강남구 봉은사로 524-0,호텔,138911
2,3,그랜드인터컨티넨탈호텔서울파르나스,서울 강남구 테헤란로 521-0,호텔,126319
3,4,조선팰리스서울강남,서울 강남구 테헤란로 231-0,호텔,115528
4,5,SETEC,서울 강남구 남부순환로 3104-0,전시시설,88290
5,6,오크우드프리미어코엑스센터,서울 강남구 테헤란로87길 46-0,호텔,81346
6,7,리베라호텔서울,서울 강남구 영동대로 737-0,호텔,75411
7,8,봉은사,서울 강남구 봉은사로 531-0,종교성지,73371
8,9,엘리에나호텔,서울 강남구 논현로 645-0,호텔,69089
9,10,안다즈서울강남,서울 강남구 논현로 854-0,호텔,65790
10,11,노보텔앰배서더호텔서울강남,서울 강남구 봉은사로 130-0,호텔,62560
11,12,신라스테이역삼,서울 강남구 언주로 517-0,호텔,60311
12,13,아쿠아리움코엑스몰점,서울 강남구 영동대로 513-0,테마공원,59601
13,14,신사동가로수길,서울 강남구,테마공원,58477
14,15,프리마호텔,서울 강남구 도산대로 536-0,호텔,55508
15,16,호텔삼정,서울 강남구 봉은사로 150-0,호텔,49902
16,17,임피리얼팰리스서울휴관중,서울 강남구 언주로 640-0,호텔,41289
17,18,파크하얏트서울호텔,서울 강남구 테헤란로 606-0,호텔,38181
18,19,더라움,서울 강남구 언주로 564-0,전시시설,35930
19,20,현대백화점무역센터점,서울 강남구 테헤란로 517-0,백화점,35501
20,21,도산공원,서울 강남구 도산대로45길 20-0,도시공원,34498
21,22,롯데호텔L7강남,서울 강남구 테헤란로 415-0,호텔,32658
22,23,현대백화점압구정본점,서울 강남구 압구정로 165-0,백화점,31722
23,24,CGV강남,서울 강남구 강남대로 438-0,공연시설,31066
24,25,CGV청담씨네시티,서울 강남구 도산대로 323-0,공연시설,30469
25,26,메가박스코엑스,서울 강남구 봉은사로 524-0,공연시설,29960
26,27,광림아트센터BBCH홀,서울 강남구 논현로163길 33-0,공연시설,29284
27,28,신라스테이삼성,서울 강남구 영동대로 506-0,호텔,29279
28,29,힐탑관광호텔,서울 강남구 논현로 647-0,호텔,28053
29,30,CGV압구정본관,서울 강남구 논현로 848-0,공연시설,23247
30,31,글래드강남코엑스센터,서울 강남구 테헤란로 610-0,호텔,20671
31,32,포포인츠바이쉐라톤서울강남,서울 강남구 도산대로 203-0,호텔,19654
32,33,KT&G상상마당대치아트홀,서울 강남구 영동대로 416-0,공연시설,18886
33,34,롯데시네마도곡,서울 강남구 남부순환로 2753-0,공연시설,18860
34,35,압구정로데오거리,서울 강남구,테마공원,18304
35,36,호텔선샤인,서울 강남구 도산대로 205-0,호텔,17913
36,37,이비스스타일앰배서더서울강남,서울 강남구 삼성로 431-0,호텔,17724
